GroupID,Year,Area,TLC,X,Y,MainPlace,Municipality,District,Province
62,1997,Tambo                                                                                                                                                                                                                                                     ,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
63,1999,Ongwediva                                                                                                                                                                                                                                                 ,U,15.76,-17.77,,,,
64,1999,Walvis Bay                                                                                                                                                                                                                                                ,U,14.48,-22.98,,,,
65,1999,Windhoek A                                                                                                                                                                                                                                                ,U,17.08,-22.55,,,,
66,1999,Tafelsig                                                                                                                                                                                                                                                  ,Central Cape Town MLC,18.64,-34.06,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
67,1999,Sanctuary Gardens                                                                                                                                                                                                                                         ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
68,1999,Umlazi AA                                                                                                                                                                                                                                                 ,,30.86,-29.97,Umlazi,eThekwini,eThekwini,KwaZulu-Natal
69,1999,Lotus Park                                                                                                                                                                                                                                                ,South Durban MLC,30.91,-30,Durban,eThekwini,eThekwini,KwaZulu-Natal
70,1999,Orient Hills                                                                                                                                                                                                                                              ,South Durban MLC,30.92,-29.99,Durban,eThekwini,eThekwini,KwaZulu-Natal
71,1999,Summerstrand                                                                                                                                                                                                                                              ,Port Elizabeth,25.65,-34,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
72,1999,Helderberg                                                                                                                                                                                                                                                ,,18.83,-34.03,Stellenbosch NU,Stellenbosch,Cape Winelands,Western Cape
73,1999,Rontree Estate                                                                                                                                                                                                                                            ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
77,1999,Tambo                                                                                                                                                                                                                                                     ,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
78,1999,Qumbu                                                                                                                                                                                                                                                     ,Qumbu Rural TRC,28.71,-31.09,Mhlontlo NU,Mhlontlo,O.R.Tambo,Eastern Cape
79,1999,Makipsvlei                                                                                                                                                                                                                                                ,U,18.9,-34.35,Betty's Bay,Overstrand,Overberg,Western Cape
80,1999,Ivory Park                                                                                                                                                                                                                                                ,Midrand/ Rabie Ridge/ Ivory Pa,28.18,-25.99,Ivory Park,City of Johannesburg,City of Johannesburg,Gauteng
81,1999,Antioch                                                                                                                                                                                                                                                   ,,30.86,-24.44,Maruleng NU,Maruleng,Mopani,Limpopo
82,1999,Garagapola                                                                                                                                                                                                                                                ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
83,1999,Gasese                                                                                                                                                                                                                                                    ,Bophirima District Council,23.04,-27.11,Ga-Sese,Joe Morolong,John Taolo Gaetsewe,Northern Cape
84,1999,Mafefe                                                                                                                                                                                                                                                    ,Noko-tlou/Fetakgomo RLC,30.11,-24.2,Ga-Mafefe,Lepele-Nkumpi,Capricorn,Limpopo
85,2000,Windhoek A                                                                                                                                                                                                                                                ,U,17.08,-22.55,,,,
86,2000,Ongwediva                                                                                                                                                                                                                                                 ,U,15.76,-17.77,,,,
87,2000,Windhoek B                                                                                                                                                                                                                                                ,U,17.08,-22.55,,,,
88,2000,Walvis Bay                                                                                                                                                                                                                                                ,U,14.48,-22.98,,,,
93,2001,Ongwediva                                                                                                                                                                                                                                                 ,U,15.76,-17.77,,,,
94,2001,Walvis Bay                                                                                                                                                                                                                                                ,U,14.48,-22.98,,,,
95,2001,Windhoek A                                                                                                                                                                                                                                                ,U,17.08,-22.55,,,,
96,2001,Windhoek B                                                                                                                                                                                                                                                ,U,17.08,-22.55,,,,
98,2001,Garagapola                                                                                                                                                                                                                                                ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
100,2001,Antioch                                                                                                                                                                                                                                                   ,,30.86,-24.44,Maruleng NU,Maruleng,Mopani,Limpopo
101,2001,Gasese                                                                                                                                                                                                                                                    ,Bophirima District Council,23.04,-27.11,Ga-Sese,Joe Morolong,John Taolo Gaetsewe,Northern Cape
102,2001,Mafefe                                                                                                                                                                                                                                                    ,Noko-tlou/Fetakgomo RLC,30.11,-24.2,Ga-Mafefe,Lepele-Nkumpi,Capricorn,Limpopo
103,2001,Tambo                                                                                                                                                                                                                                                     ,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
104,2001,Mfazazane                                                                                                                                                                                                                                                 ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
