GroupID,Year,Area,TLC,X,Y,MainPlace,Municipality,District,Province
1000127,2013,Wattville                                                                                                                                                                                                                                                 ,Benoni,28.3,-26.22,Wattville,Ekurhuleni,Ekurhuleni,Gauteng
1000128,2013,Matsulu                                                                                                                                                                                                                                                   ,Nelspruit,31.33,-25.51,Matsulu,Mbombela,Ehlanzeni,Mpumalanga
1000129,2013,Seloshesa                                                                                                                                                                                                                                                 ,,26.81,-29.19,Thabanchu,Mangaung,Mangaung,Free State
1000130,2013,Butterworth                                                                                                                                                                                                                                               ,Butterworth,28.22,-32.31,Butterworth,Mnquma,Amathole,Eastern Cape
1000132,2013,Dipelaneng                                                                                                                                                                                                                                                ,U,28.78,-28.61,Maluti A Phofung NU,Maluti a Phofung,Thabo Mofutsanyane,Free State
1000133,2013,Bophelong                                                                                                                                                                                                                                                 ,Western Vaal MLC,27.8,-26.69,Bophelong,Emfuleni,Sedibeng,Gauteng
1000134,2013,Phomolong                                                                                                                                                                                                                                                 ,Edenvale/ Modderfontein MLC,28.18,-26.04,Tembisa,Ekurhuleni,Ekurhuleni,Gauteng
1000134,2013,Phomolong                                                                                                                                                                                                                                                 ,Hennenman,27.08,-28.01,Phomolong,Matjhabeng,Lejweleputswa,Free State
1000136,2014,Ga-Luka                                                                                                                                                                                                                                                   ,Rustenburg District Council,27.18,-25.5,GaLuka,Rustenburg,Bojanala,North West
1000137,2014,Ga-Nkoane                                                                                                                                                                                                                                                 ,,29.77,-24.41,KaMapolaneng,Fetakgomo,Greater Sekhukhune,Limpopo
1000138,2014,Hankey                                                                                                                                                                                                                                                    ,Hankey,24.86,-33.82,Hankey,Kouga,Cacadu,Eastern Cape
1000139,2014,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000140,2014,Vlaklaagte                                                                                                                                                                                                                                                ,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000141,2014,Wattville                                                                                                                                                                                                                                                 ,Benoni,28.3,-26.22,Wattville,Ekurhuleni,Ekurhuleni,Gauteng
1000142,2014,Matsulu                                                                                                                                                                                                                                                   ,Nelspruit,31.33,-25.51,Matsulu,Mbombela,Ehlanzeni,Mpumalanga
1000143,2014,Seloshesa                                                                                                                                                                                                                                                 ,,26.81,-29.19,Thabanchu,Mangaung,Mangaung,Free State
1000144,2014,Butterworth                                                                                                                                                                                                                                               ,Butterworth,28.22,-32.31,Butterworth,Mnquma,Amathole,Eastern Cape
1000146,2014,Dipelaneng                                                                                                                                                                                                                                                ,U,28.78,-28.61,Maluti A Phofung NU,Maluti a Phofung,Thabo Mofutsanyane,Free State
1000147,2014,Bophelong                                                                                                                                                                                                                                                 ,Western Vaal MLC,27.8,-26.69,Bophelong,Emfuleni,Sedibeng,Gauteng
1000148,2014,Phomolong                                                                                                                                                                                                                                                 ,Edenvale/ Modderfontein MLC,28.18,-26.04,Tembisa,Ekurhuleni,Ekurhuleni,Gauteng
1000148,2014,Phomolong                                                                                                                                                                                                                                                 ,Hennenman,27.08,-28.01,Phomolong,Matjhabeng,Lejweleputswa,Free State
2000002,2002,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
2000003,2002,Maconqo                                                                                                                                                                                                                                                   ,U,23.26,-13.27,,,,
