,GroupName,Description,ContextID,ParentID,lock,Year,Area
1000018,2003 Moreletta Park                                                                                                                                                                                                                                            ,NULL,2,1000015,0,2003,Moreletta Park                                                                                                                                                                                                                                            
1000019,2003 Westridge                                                                                                                                                                                                                                                 ,NULL,2,1000015,0,2003,Westridge                                                                                                                                                                                                                                                 
1000023,2004 Greenturf                                                                                                                                                                                                                                                 ,NULL,2,1000020,0,2004,Greenturf                                                                                                                                                                                                                                                 
1000025,2004 Kabega                                                                                                                                                                                                                                                    ,NULL,2,1000020,0,2004,Kabega                                                                                                                                                                                                                                                    
1000024,2004 Westridge                                                                                                                                                                                                                                                 ,NULL,2,1000020,0,2004,Westridge                                                                                                                                                                                                                                                 
1000028,2004 Dinokana                                                                                                                                                                                                                                                  ,NULL,2,1000021,0,2004,Dinokana                                                                                                                                                                                                                                                  
1000029,2004 Driekoppies                                                                                                                                                                                                                                               ,NULL,2,1000021,0,2004,Driekoppies                                                                                                                                                                                                                                               
1000027,2004 Khayalitsha                                                                                                                                                                                                                                               ,NULL,2,1000021,0,2004,Khayalitsha                                                                                                                                                                                                                                               
1000022,2004 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000021,0,2004,Matshana                                                                                                                                                                                                                                                  
1000026,2004 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,2,1000021,0,2004,Vlaklaagte                                                                                                                                                                                                                                                
1000031,2005 Dinokana                                                                                                                                                                                                                                                  ,NULL,2,1000030,0,2005,Dinokana                                                                                                                                                                                                                                                  
1000036,2005 Driekoppies                                                                                                                                                                                                                                               ,NULL,2,1000030,0,2005,Driekoppies                                                                                                                                                                                                                                               
1000033,2005 Khayalitsha                                                                                                                                                                                                                                               ,NULL,2,1000030,0,2005,Khayalitsha                                                                                                                                                                                                                                               
1000034,2005 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000030,0,2005,Matshana                                                                                                                                                                                                                                                  
1000032,2005 Peacetown                                                                                                                                                                                                                                                 ,NULL,2,1000030,0,2005,Peacetown                                                                                                                                                                                                                                                 
1000035,2005 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,2,1000030,0,2005,Vlaklaagte                                                                                                                                                                                                                                                
1000038,2005 Greenturf                                                                                                                                                                                                                                                 ,NULL,2,1000037,0,2005,Greenturf                                                                                                                                                                                                                                                 
1000039,2005 Kabega                                                                                                                                                                                                                                                    ,NULL,2,1000037,0,2005,Kabega                                                                                                                                                                                                                                                    
1000041,2005 La Lucia                                                                                                                                                                                                                                                  ,NULL,2,1000037,0,2005,La Lucia                                                                                                                                                                                                                                                  
1000040,2005 Westridge                                                                                                                                                                                                                                                 ,NULL,2,1000037,0,2005,Westridge                                                                                                                                                                                                                                                 
1000042,2005 Woodhill                                                                                                                                                                                                                                                  ,NULL,2,1000037,0,2005,Woodhill                                                                                                                                                                                                                                                  
1000054,2006 Dinokana                                                                                                                                                                                                                                                  ,NULL,2,1000047,0,2006,Dinokana                                                                                                                                                                                                                                                  
